all_gene1	three_prime_partners	num_three_prime_partners	five_prime_TCGA_Projects
DNMBP	CPN1:CWF19L1:TPTE2:RFWD2	4	SKCM:STAD:LUSC:SARC
COX15	ERLIN1:DNMBP	2	BRCA:STAD
NRG3	SCD:LINC00856:AC022081.1:HCFC1	4	KIRC:PRAD:BRCA
ZNF239	SEC31B	1	LGG
CWF19L1	NDUFB8:HSPA12A:CHST3:ROBO1	4	BRCA:LGG:LUSC
BTRC	HIF1AN:LINC01514:LBX1-AS1:MICU1:AC005779.1	5	KIRC:OV:PCPG:ACC:LIHC
EPHB3	PAX2	1	SARC
OSBP2	MRPL43:CHCHD3	2	SKCM:OV
WDR37	GTPBP4:IDI2-AS1:TUBAL3:AHNAK:SF1:MAGI3:PCDH12	7	STAD:ACC:BLCA:LIHC:LAML:OV:LGG
CTBP2	TLX1NB:EIF3A:FGFR2:ADAM12:CADM1:LINC01229:CTNNB1:IL1RAPL1	8	ESCA:PRAD:BRCA:OV:STAD
GBF1	LBX1-AS1:NT5C2:SFTPD:TRPC6:ARF3:CTDSP2:NBPF14:UBE2R2	8	SARC:STAD:COAD:UCEC:BLCA
MB21D1	BTRC:SLC17A5	2	ESCA:STAD
DOCK1	DPCD:PLPP4:STK32C:PCDH15:KCNMA1-AS1:DACT3:APBA1	7	GBM:BRCA:SARC:PRAD:UCEC
C10orf76	KCNIP2-AS1:LDB1:AC090772.2:PEX14	4	LGG:ESCA:MESO
FBXW4	C10orf76:SORCS3-AS1:AC084816.1	3	STAD:LUAD:OV
WBP1L	C10orf76:SUFU:TRIM8:PTEN:ADAMTS2:ADTRP	6	OV:CESC:LUAD:STAD:PRAD:BRCA
RIOK3	C10orf76:ZNF521:TAF4B	3	MESO:PRAD:HNSC
IRF2	NOLC1:MORN1:Z84484.1	3	STAD:LUSC:MESO
SUFU	GBF1:ADK:ZCCHC24:CYP26A1:AP002884.3:KCNH2	6	STAD:BRCA:UCEC:HNSC:LGG:PRAD
MFSD13A	GBF1	1	STAD
CAB39	GBF1:ERBB2:RHBDD1:DIS3L2	4	STAD:SARC:OV
FBXL15	GBF1:AC099554.1	2	BLCA:SARC
CCDC187	PSD	1	ESCA
PDCD11	FBXL15:SFXN2	2	SARC:LUAD
HS6ST3	ACTR1A:FAM155A:EIF4EBP1	3	PCPG:SARC:LUSC
CPN1	ACTR1A	1	LIHC
AUTS2	ACTR1A:PNLIPRP3:CDH8:AC004870.4:LINC01005:AC093655.1	6	SARC:OV:ACC:LGG
SFXN2	SUFU	1	LIHC
CHCHD1	SUFU	1	PRAD
GNPTG	TRIM8:MSMB:UBE2I	3	STAD:PRAD:ACC:KIRP
CUEDC2	ARL3:POLR3A	2	LIHC:UCS
BORCS7	WBP1L	1	LIHC
AS3MT	CYP17A1-AS1:BORCS7	2	LIHC:LGG
AL355315.1	AS3MT	1	PRAD
MCU	CNNM2:CDH23:AC068790.8:UBC:NFIX	5	LUAD:BRCA:LUSC:STAD
SLK	INA	1	PRAD
USP48	INA:WNT4:STPG1:RSRP1:MAN1C1:SELENON:KALRN	7	UCEC:STAD:LUSC:SARC
PDP1	INA	1	SARC
NT5C2	PCGF6:LRIT1:LINC00592:DLEU1:RIPK4	5	LUAD:MESO:OV:SARC:ESCA
LDB1	PCGF6	1	BRCA
NEURL1	PDCD11	1	LUSC
PLXDC2	PDCD11:ST8SIA6:MALRD1:THNSL1:VAMP8:VAMP5:TMCC1-AS1:SYNE1	8	SARC:BRCA:LGG:SKCM:BLCA:HNSC
BICC1	AL139339.1:DPYSL4:CISD1:UBE2D1:AC007364.1	5	PRAD:LUAD:KIRP:BRCA:LIHC
AL117336.3	NEURL1-AS1:CCNY	2	PRAD:STAD
COL17A1	NEURL1:CFAP43	2	HNSC:LUSC
PTPRE	SH3PXD2A:SEC23IP:TACC2:DOCK1	4	STAD
ACTR1A	STN1:ARMC4:EFCAB13:FCGRT:ALB	5	PRAD:UCS:OV:LIHC
SH3PXD2A	STN1:COL17A1:CFAP58-AS1:LINC01435:PDLIM1:RB1:AC104574.2:MAP1S	8	HNSC:BRCA:LUAD:LUSC:STAD:BLCA:SKCM:OV:LIHC:UCEC
STN1	COL17A1:TM9SF3:PCGF3	3	STAD:READ:BLCA
SMARCA5	COL17A1:AC139720.2:AC097658.2:LRBA	4	ESCA:BRCA:BLCA
