domain_domain_interaction	count_new	frequency	domain_1	domain_2	domain1_description	domain2_description
14-3-3--7tm_2	1	3.1675641431739e-05	14-3-3	7tm_2	14-3-3protein	7transmembranereceptor(Secretinfamily)
3HCDH--AAA	1	3.1675641431739e-05	3HCDH	AAA	3-hydroxyacyl-CoAdehydrogenase,C-terminaldomain	ATPasefamilyassociatedwithvariouscellularactivities(AAA)
3HCDH_N--AAA	1	3.1675641431739e-05	3HCDH_N	AAA	3-hydroxyacyl-CoAdehydrogenase,NADbindingdomain	ATPasefamilyassociatedwithvariouscellularactivities(AAA)
7tm_1--AAA_22	1	3.1675641431739e-05	7tm_1	AAA_22	7transmembranereceptor(rhodopsinfamily)	AAAdomain
2-oxoacid_dh--AAA_33	1	3.1675641431739e-05	2-oxoacid_dh	AAA_33	2-oxoaciddehydrogenasesacyltransferase(catalyticdomain)	AAAdomain
3HCDH--AC_N	1	3.1675641431739e-05	3HCDH	AC_N	3-hydroxyacyl-CoAdehydrogenase,C-terminaldomain	AdenylylcyclaseN-terminalextracellularandtransmembraneregion
3HCDH_N--AC_N	1	3.1675641431739e-05	3HCDH_N	AC_N	3-hydroxyacyl-CoAdehydrogenase,NADbindingdomain	AdenylylcyclaseN-terminalextracellularandtransmembraneregion
AAA_18--ADAM_spacer1	1	3.1675641431739e-05	AAA_18	ADAM_spacer1	AAAdomain	ADAM-TSSpacer1
ACC_central--AIP3	1	3.1675641431739e-05	ACC_central	AIP3	Acetyl-CoAcarboxylase,centralregion	Actininteractingprotein3
2OG-FeII_Oxy_3--AKAP7_NLS	1	3.1675641431739e-05	2OG-FeII_Oxy_3	AKAP7_NLS	2OG-Fe(II)oxygenasesuperfamily	AKAP72'5'RNAligase-likedomain
ABC1--AKAP95	1	3.1675641431739e-05	ABC1	AKAP95	ABC1family	A-kinaseanchoringprotein95(AKAP95)
Actin--ALG3	1	3.1675641431739e-05	Actin	ALG3	Actin	ALG3protein
Alpha_kinase--AMP-binding	1	3.1675641431739e-05	Alpha_kinase	AMP-binding	Alpha-kinasefamily	AMP-bindingenzyme
Alpha_kinase--AMP-binding_C	1	3.1675641431739e-05	Alpha_kinase	AMP-binding_C	Alpha-kinasefamily	AMP-bindingenzymeC-terminaldomain
Actin--ANAPC4_WD40	8	0.000253405131453912	Actin	ANAPC4_WD40	Actin	Anaphase-promotingcomplexsubunit4WD40domain
AAA_9--ANKH	1	3.1675641431739e-05	AAA_9	ANKH	ATP-bindingdyneinmotorregion	Progressiveankylosisprotein(ANKH)
ADH_zinc_N_2--APG5	1	3.1675641431739e-05	ADH_zinc_N_2	APG5	Zinc-bindingdehydrogenase	AutophagyproteinApg5
ADK--APG5	1	3.1675641431739e-05	ADK	APG5	Adenylatekinase	AutophagyproteinApg5
Amidase--APG5	1	3.1675641431739e-05	Amidase	APG5	Amidase	AutophagyproteinApg5
ABC_tran--APH	1	3.1675641431739e-05	ABC_tran	APH	ABCtransporter	Phosphotransferaseenzymefamily
Anoctamin--ARID	1	3.1675641431739e-05	Anoctamin	ARID	Calcium-activatedchloridechannel	ARID/BRIGHTDNAbindingdomain
adh_short--ARID	1	3.1675641431739e-05	adh_short	ARID	shortchaindehydrogenase	ARID/BRIGHTDNAbindingdomain
Acylphosphatase--ARL2_Bind_BART	1	3.1675641431739e-05	Acylphosphatase	ARL2_Bind_BART	Acylphosphatase	TheARF-like2bindingproteinBART
7tm_3--ARPC4	1	3.1675641431739e-05	7tm_3	ARPC4	7transmembranesweet-tastereceptorof3GCPR	ARP2/3complex20kDasubunit(ARPC4)
ANF_receptor--ARPC4	1	3.1675641431739e-05	ANF_receptor	ARPC4	Receptorfamilyligandbindingregion	ARP2/3complex20kDasubunit(ARPC4)
Aldedh--ATP1G1_PLM_MAT8	2	6.3351282863478e-05	Aldedh	ATP1G1_PLM_MAT8	Aldehydedehydrogenasefamily	ATP1G1/PLM/MAT8family
ABC_tran--Acetyltransf_16	1	3.1675641431739e-05	ABC_tran	Acetyltransf_16	ABCtransporter	GNATacetyltransferase,Mec-17
ABC_tran_Xtn--Acetyltransf_16	1	3.1675641431739e-05	ABC_tran_Xtn	Acetyltransf_16	ABCtransporter	GNATacetyltransferase,Mec-17
ABC_tran--Actin	1	3.1675641431739e-05	ABC_tran	Actin	ABCtransporter	Actin
7tm_1--Adaptin_N	2	6.3351282863478e-05	7tm_1	Adaptin_N	7transmembranereceptor(rhodopsinfamily)	AdaptinNterminalregion
Actin--Aldedh	1	3.1675641431739e-05	Actin	Aldedh	Actin	Aldehydedehydrogenasefamily
4HBT--Alpha_L_fucos	1	3.1675641431739e-05	4HBT	Alpha_L_fucos	Thioesterasesuperfamily	Alpha-L-fucosidase
Acyltransferase--Amidohydro_1	2	6.3351282863478e-05	Acyltransferase	Amidohydro_1	Acyltransferase	Amidohydrolasefamily
AAA--Amino_oxidase	1	3.1675641431739e-05	AAA	Amino_oxidase	ATPasefamilyassociatedwithvariouscellularactivities(AAA)	Flavincontainingamineoxidoreductase
ADAM_spacer1--Anillin	1	3.1675641431739e-05	ADAM_spacer1	Anillin	ADAM-TSSpacer1	Celldivisionproteinanillin
AAA--Ank	1	3.1675641431739e-05	AAA	Ank	ATPasefamilyassociatedwithvariouscellularactivities(AAA)	Ankyrinrepeat
ANAPC15--Ank	1	3.1675641431739e-05	ANAPC15	Ank	Anaphase-promotingcomplexsubunit15	Ankyrinrepeat
4HBT--Ank_2	1	3.1675641431739e-05	4HBT	Ank_2	Thioesterasesuperfamily	Ankyrinrepeats(3copies)
7tm_4--Ank_2	1	3.1675641431739e-05	7tm_4	Ank_2	Olfactoryreceptor	Ankyrinrepeats(3copies)
AAA--Ank_2	1	3.1675641431739e-05	AAA	Ank_2	ATPasefamilyassociatedwithvariouscellularactivities(AAA)	Ankyrinrepeats(3copies)
AAA_5--Ank_2	1	3.1675641431739e-05	AAA_5	Ank_2	AAAdomain(dynein-relatedsubfamily)	Ankyrinrepeats(3copies)
AAA_6--Ank_2	1	3.1675641431739e-05	AAA_6	Ank_2	HydrolyticATPbindingsiteofdyneinmotorregion	Ankyrinrepeats(3copies)
AAA_7--Ank_2	1	3.1675641431739e-05	AAA_7	Ank_2	P-loopcontainingdyneinmotorregion	Ankyrinrepeats(3copies)
AAA_8--Ank_2	1	3.1675641431739e-05	AAA_8	Ank_2	P-loopcontainingdyneinmotorregionD4	Ankyrinrepeats(3copies)
AAA_9--Ank_2	1	3.1675641431739e-05	AAA_9	Ank_2	ATP-bindingdyneinmotorregion	Ankyrinrepeats(3copies)
ACPS--Ank_2	1	3.1675641431739e-05	ACPS	Ank_2	4'-phosphopantetheinyltransferasesuperfamily	Ankyrinrepeats(3copies)
ADAM_spacer1--Ank_2	1	3.1675641431739e-05	ADAM_spacer1	Ank_2	ADAM-TSSpacer1	Ankyrinrepeats(3copies)
ANAPC15--Ank_2	1	3.1675641431739e-05	ANAPC15	Ank_2	Anaphase-promotingcomplexsubunit15	Ankyrinrepeats(3copies)
ANF_receptor--Ank_2	1	3.1675641431739e-05	ANF_receptor	Ank_2	Receptorfamilyligandbindingregion	Ankyrinrepeats(3copies)
4HBT--Ank_4	1	3.1675641431739e-05	4HBT	Ank_4	Thioesterasesuperfamily	Ankyrinrepeats(manycopies)
ANF_receptor--Ank_4	1	3.1675641431739e-05	ANF_receptor	Ank_4	Receptorfamilyligandbindingregion	Ankyrinrepeats(manycopies)
ANAPC15--Ank_5	1	3.1675641431739e-05	ANAPC15	Ank_5	Anaphase-promotingcomplexsubunit15	Ankyrinrepeats(manycopies)
AA_permease_2--Anoct_dimer	1	3.1675641431739e-05	AA_permease_2	Anoct_dimer	Aminoacidpermease	DimerisationdomainofCa+-activatedchloride-channel,anoctamin
AA_permease_2--Anoctamin	1	3.1675641431739e-05	AA_permease_2	Anoctamin	Aminoacidpermease	Calcium-activatedchloridechannel
adh_short--Ant_C	1	3.1675641431739e-05	adh_short	Ant_C	shortchaindehydrogenase	AnthraxreceptorC-terminusregion
adh_short--Anth_Ig	1	3.1675641431739e-05	adh_short	Anth_Ig	shortchaindehydrogenase	Anthraxreceptorextracellulardomain
Actin--Arf	1	3.1675641431739e-05	Actin	Arf	Actin	ADP-ribosylationfactorfamily
AAA_2--Arm	1	3.1675641431739e-05	AAA_2	Arm	AAAdomain(Cdc48subfamily)	Armadillo/beta-catenin-likerepeat
Actin--Arm	1	3.1675641431739e-05	Actin	Arm	Actin	Armadillo/beta-catenin-likerepeat
Ank_2--Arm	1	3.1675641431739e-05	Ank_2	Arm	Ankyrinrepeats(3copies)	Armadillo/beta-catenin-likerepeat
ABC2_membrane--Asp	1	3.1675641431739e-05	ABC2_membrane	Asp	ABC-2typetransporter	Eukaryoticaspartylprotease
ABC_tran--Asp	1	3.1675641431739e-05	ABC_tran	Asp	ABCtransporter	Eukaryoticaspartylprotease
ADK--Atg14	1	3.1675641431739e-05	ADK	Atg14	Adenylatekinase	Vacuolarsorting38andautophagy-relatedsubunit14
AATF-Che1--B2-adapt-app_C	1	3.1675641431739e-05	AATF-Che1	B2-adapt-app_C	Apoptosisantagonizingtranscriptionfactor	Beta2-adaptinappendage,C-terminalsub-domain
7tm_1--BACK	1	3.1675641431739e-05	7tm_1	BACK	7transmembranereceptor(rhodopsinfamily)	BTBAndC-terminalKelch
ACBP--BACK	1	3.1675641431739e-05	ACBP	BACK	AcylCoAbindingprotein	BTBAndC-terminalKelch
Agenet--BACK	1	3.1675641431739e-05	Agenet	BACK	Agenetdomain	BTBAndC-terminalKelch
Ank_2--BACK	1	3.1675641431739e-05	Ank_2	BACK	Ankyrinrepeats(3copies)	BTBAndC-terminalKelch
Arm_2--BAG6	1	3.1675641431739e-05	Arm_2	BAG6	Armadillo-like	BCL2-associatedathanogene6
BACK--BAH	1	3.1675641431739e-05	BACK	BAH	BTBAndC-terminalKelch	BAHdomain
AAA_8--BAR	1	3.1675641431739e-05	AAA_8	BAR	P-loopcontainingdyneinmotorregionD4	BARdomain
AAA_9--BAR	1	3.1675641431739e-05	AAA_9	BAR	ATP-bindingdyneinmotorregion	BARdomain
ADH_N_2--BAR	1	3.1675641431739e-05	ADH_N_2	BAR	N-terminaldomainofoxidoreductase	BARdomain
ADH_zinc_N--BAR	1	3.1675641431739e-05	ADH_zinc_N	BAR	Zinc-bindingdehydrogenase	BARdomain
Ank_2--BAR	1	3.1675641431739e-05	Ank_2	BAR	Ankyrinrepeats(3copies)	BARdomain
7tm_1--BAR_3	1	3.1675641431739e-05	7tm_1	BAR_3	7transmembranereceptor(rhodopsinfamily)	BARdomainofAPPLfamily
Atx10homo_assoc--BAR_3	1	3.1675641431739e-05	Atx10homo_assoc	BAR_3	Spinocerebellarataxiatype10proteindomain	BARdomainofAPPLfamily
Ammonium_transp--BH4	2	6.3351282863478e-05	Ammonium_transp	BH4	AmmoniumTransporterFamily	Bcl-2homologyregion4
APS_kinase--BID	1	3.1675641431739e-05	APS_kinase	BID	Adenylylsulphatekinase	BH3interactingdomain(BID)
Amidohydro_1--BNIP3	1	3.1675641431739e-05	Amidohydro_1	BNIP3	Amidohydrolasefamily	BNIP3
BORCS7--BORCS7	1	3.1675641431739e-05	BORCS7	BORCS7	BLOC-1-relatedcomplexsub-unit7	BLOC-1-relatedcomplexsub-unit7
Asparaginase_2--BPL_C	1	3.1675641431739e-05	Asparaginase_2	BPL_C	Asparaginase	BiotinproteinligaseCterminaldomain
Asparaginase_2--BPL_LplA_LipB	1	3.1675641431739e-05	Asparaginase_2	BPL_LplA_LipB	Asparaginase	Biotin/lipoateA/Bproteinligasefamily
Asparaginase_2--BPL_N	1	3.1675641431739e-05	Asparaginase_2	BPL_N	Asparaginase	Biotin-proteinligase,Nterminal
AF-4--BRCT_2	1	3.1675641431739e-05	AF-4	BRCT_2	AF-4proto-oncoprotein	BRCTdomain,aBRCA1C-terminusdomain
BAR_3--BRICHOS	1	3.1675641431739e-05	BAR_3	BRICHOS	BARdomainofAPPLfamily	BRICHOSdomain
7tm_1--BTB	1	3.1675641431739e-05	7tm_1	BTB	7transmembranereceptor(rhodopsinfamily)	BTB/POZdomain
AAA_5--BTB	2	6.3351282863478e-05	AAA_5	BTB	AAAdomain(dynein-relatedsubfamily)	BTB/POZdomain
AAA_6--BTB	2	6.3351282863478e-05	AAA_6	BTB	HydrolyticATPbindingsiteofdyneinmotorregion	BTB/POZdomain
AAA_7--BTB	2	6.3351282863478e-05	AAA_7	BTB	P-loopcontainingdyneinmotorregion	BTB/POZdomain
AAA_8--BTB	2	6.3351282863478e-05	AAA_8	BTB	P-loopcontainingdyneinmotorregionD4	BTB/POZdomain
AAA_9--BTB	2	6.3351282863478e-05	AAA_9	BTB	ATP-bindingdyneinmotorregion	BTB/POZdomain
ACPS--BTB	1	3.1675641431739e-05	ACPS	BTB	4'-phosphopantetheinyltransferasesuperfamily	BTB/POZdomain
Agenet--BTB	1	3.1675641431739e-05	Agenet	BTB	Agenetdomain	BTB/POZdomain
Arm--BTB	1	3.1675641431739e-05	Arm	BTB	Armadillo/beta-catenin-likerepeat	BTB/POZdomain
Arm_3--BTB	1	3.1675641431739e-05	Arm_3	BTB	AtypicalArmrepeat	BTB/POZdomain
BAH--BTB	1	3.1675641431739e-05	BAH	BTB	BAHdomain	BTB/POZdomain
Adaptin_N--BTB_2	2	6.3351282863478e-05	Adaptin_N	BTB_2	AdaptinNterminalregion	BTB/POZdomain
Atg14--BTB_2	1	3.1675641431739e-05	Atg14	BTB_2	Vacuolarsorting38andautophagy-relatedsubunit14	BTB/POZdomain
BAH--BTB_2	1	3.1675641431739e-05	BAH	BTB_2	BAHdomain	BTB/POZdomain
Ammonium_transp--Bcl-2	2	6.3351282863478e-05	Ammonium_transp	Bcl-2	AmmoniumTransporterFamily	Apoptosisregulatorproteins,Bcl-2family
AAA--Beach	1	3.1675641431739e-05	AAA	Beach	ATPasefamilyassociatedwithvariouscellularactivities(AAA)	Beige/BEACHdomain
Ank_2--Beach	1	3.1675641431739e-05	Ank_2	Beach	Ankyrinrepeats(3copies)	Beige/BEACHdomain
BAR_3--Beta-Casp	1	3.1675641431739e-05	BAR_3	Beta-Casp	BARdomainofAPPLfamily	Beta-Caspdomain
AIP3--Biotin_carb_C	1	3.1675641431739e-05	AIP3	Biotin_carb_C	Actininteractingprotein3	BiotincarboxylaseC-terminaldomain
Adaptin_N--Biotin_carb_C	1	3.1675641431739e-05	Adaptin_N	Biotin_carb_C	AdaptinNterminalregion	BiotincarboxylaseC-terminaldomain
Arf--Biotin_carb_C	1	3.1675641431739e-05	Arf	Biotin_carb_C	ADP-ribosylationfactorfamily	BiotincarboxylaseC-terminaldomain
AIP3--Biotin_carb_N	1	3.1675641431739e-05	AIP3	Biotin_carb_N	Actininteractingprotein3	Biotincarboxylase,N-terminaldomain
Adaptin_N--Biotin_carb_N	1	3.1675641431739e-05	Adaptin_N	Biotin_carb_N	AdaptinNterminalregion	Biotincarboxylase,N-terminaldomain
Arf--Biotin_carb_N	1	3.1675641431739e-05	Arf	Biotin_carb_N	ADP-ribosylationfactorfamily	Biotincarboxylase,N-terminaldomain
AAA_33--Biotin_lipoyl	1	3.1675641431739e-05	AAA_33	Biotin_lipoyl	AAAdomain	Biotin-requiringenzyme
AIP3--Biotin_lipoyl	1	3.1675641431739e-05	AIP3	Biotin_lipoyl	Actininteractingprotein3	Biotin-requiringenzyme
APP_E2--Bromo_TP	1	3.1675641431739e-05	APP_E2	Bromo_TP	E2domainofamyloidprecursorprotein	Bromodomainassociated
APP_amyloid--Bromo_TP	1	3.1675641431739e-05	APP_amyloid	Bromo_TP	Beta-amyloidprecursorproteinC-terminus	Bromodomainassociated
Beta-APP--Bromo_TP	1	3.1675641431739e-05	Beta-APP	Bromo_TP	Beta-amyloidpeptide(beta-APP)	Bromodomainassociated
7tm_1--Bromodomain	1	3.1675641431739e-05	7tm_1	Bromodomain	7transmembranereceptor(rhodopsinfamily)	Bromodomain
Aminotran_5--Bromodomain	1	3.1675641431739e-05	Aminotran_5	Bromodomain	Aminotransferaseclass-V	Bromodomain
Ank_2--Bromodomain	7	0.000221729490022173	Ank_2	Bromodomain	Ankyrinrepeats(3copies)	Bromodomain
Ank_4--Bromodomain	1	3.1675641431739e-05	Ank_4	Bromodomain	Ankyrinrepeats(manycopies)	Bromodomain
BCOR--Bromodomain	6	0.000190053848590434	BCOR	Bromodomain	BCL-6co-repressor,non-ankyrin-repeatregion	Bromodomain
AC_N--Btz	1	3.1675641431739e-05	AC_N	Btz	AdenylylcyclaseN-terminalextracellularandtransmembraneregion	CASC3/BarentszeIF4AIIIbinding
ABC_membrane--C1-set	1	3.1675641431739e-05	ABC_membrane	C1-set	ABCtransportertransmembraneregion	ImmunoglobulinC1-setdomain
ABC_tran--C1-set	1	3.1675641431739e-05	ABC_tran	C1-set	ABCtransporter	ImmunoglobulinC1-setdomain
Bromo_TP--C1-set	1	3.1675641431739e-05	Bromo_TP	C1-set	Bromodomainassociated	ImmunoglobulinC1-setdomain
ABC_membrane--C1_1	1	3.1675641431739e-05	ABC_membrane	C1_1	ABCtransportertransmembraneregion	Phorbolesters/diacylglycerolbindingdomain(C1domain)
ABC_membrane_2--C1_1	1	3.1675641431739e-05	ABC_membrane_2	C1_1	ABCtransportertransmembraneregion2	Phorbolesters/diacylglycerolbindingdomain(C1domain)
ABC_tran--C1_1	2	6.3351282863478e-05	ABC_tran	C1_1	ABCtransporter	Phorbolesters/diacylglycerolbindingdomain(C1domain)
AP3B1_C--C1_1	1	3.1675641431739e-05	AP3B1_C	C1_1	Clathrin-adaptorcomplex-3beta-1subunitC-terminal	Phorbolesters/diacylglycerolbindingdomain(C1domain)
ATP-gua_Ptrans--C1_1	1	3.1675641431739e-05	ATP-gua_Ptrans	C1_1	ATP:guanidophosphotransferase,C-terminalcatalyticdomain	Phorbolesters/diacylglycerolbindingdomain(C1domain)
Alg14--C1_1	1	3.1675641431739e-05	Alg14	C1_1	OligosaccharidebiosynthesisproteinAlg14like	Phorbolesters/diacylglycerolbindingdomain(C1domain)
Ank--C1_1	1	3.1675641431739e-05	Ank	C1_1	Ankyrinrepeat	Phorbolesters/diacylglycerolbindingdomain(C1domain)
Ank_2--C1_1	1	3.1675641431739e-05	Ank_2	C1_1	Ankyrinrepeats(3copies)	Phorbolesters/diacylglycerolbindingdomain(C1domain)
BACK--C1_1	1	3.1675641431739e-05	BACK	C1_1	BTBAndC-terminalKelch	Phorbolesters/diacylglycerolbindingdomain(C1domain)
BTB--C1_1	1	3.1675641431739e-05	BTB	C1_1	BTB/POZdomain	Phorbolesters/diacylglycerolbindingdomain(C1domain)
adh_short--C1_1	1	3.1675641431739e-05	adh_short	C1_1	shortchaindehydrogenase	Phorbolesters/diacylglycerolbindingdomain(C1domain)
bZIP_1--C1_1	1	3.1675641431739e-05	bZIP_1	C1_1	bZIPtranscriptionfactor	Phorbolesters/diacylglycerolbindingdomain(C1domain)
c-SKI_SMAD_bind--C1_1	1	3.1675641431739e-05	c-SKI_SMAD_bind	C1_1	c-SKISmad4bindingdomain	Phorbolesters/diacylglycerolbindingdomain(C1domain)
7tm_1--C1q	1	3.1675641431739e-05	7tm_1	C1q	7transmembranereceptor(rhodopsinfamily)	C1qdomain
7tm_2--C2	2	6.3351282863478e-05	7tm_2	C2	7transmembranereceptor(Secretinfamily)	C2domain
ABC_membrane--C2	1	3.1675641431739e-05	ABC_membrane	C2	ABCtransportertransmembraneregion	C2domain
ABC_tran--C2	1	3.1675641431739e-05	ABC_tran	C2	ABCtransporter	C2domain
AMP-binding--C2	1	3.1675641431739e-05	AMP-binding	C2	AMP-bindingenzyme	C2domain
APP_E2--C2	1	3.1675641431739e-05	APP_E2	C2	E2domainofamyloidprecursorprotein	C2domain
APP_amyloid--C2	1	3.1675641431739e-05	APP_amyloid	C2	Beta-amyloidprecursorproteinC-terminus	C2domain
AdoHcyase--C2	1	3.1675641431739e-05	AdoHcyase	C2	S-adenosyl-L-homocysteinehydrolase	C2domain
AdoHcyase_NAD--C2	1	3.1675641431739e-05	AdoHcyase_NAD	C2	S-adenosyl-L-homocysteinehydrolase,NADbindingdomain	C2domain
Alpha_kinase--C2	1	3.1675641431739e-05	Alpha_kinase	C2	Alpha-kinasefamily	C2domain
Ank_2--C2	1	3.1675641431739e-05	Ank_2	C2	Ankyrinrepeats(3copies)	C2domain
BCAS3--C2	1	3.1675641431739e-05	BCAS3	C2	Breastcarcinomaamplifiedsequence3	C2domain
