TCGA_Project	mean
SARC	9.15589353612167
ESCA	7.32432432432432
UCS	6.66666666666667
OV	6.54418604651163
STAD	5.84819277108434
BRCA	5.391771019678
UCEC	4.68108108108108
PRAD	4.01397205588822
ACC	3.44303797468354
BLCA	3.42995169082126
LUSC	3.29504950495049
LUAD	3.25323475046211
GBM	3.17058823529412
SKCM	3.14618644067797
LIHC	2.25201072386059
CHOL	2.02777777777778
MESO	1.71264367816092
LGG	1.70411985018727
HNSC	1.70114942528736
CESC	1.66666666666667
READ	1.57894736842105
PAAD	1.1340782122905
LAML	1.10857142857143
COAD	1.08709677419355
DLBC	0.979166666666667
KIRP	0.83448275862069
PCPG	0.826086956521739
KIRC	0.687615526802218
TGCT	0.641025641025641
KICH	0.575757575757576
THCA	0.565302144249513
THYM	0.441666666666667
UVM	0.375
