all_gene2	five_prime_partners	num_five_prime_partners	three_prime_TCGA_Projects
CPN1	DNMBP	1	SKCM
ERLIN1	COX15	1	BRCA
CWF19L1	DNMBP	1	STAD
SCD	NRG3	1	KIRC
SEC31B	ZNF239	1	LGG
NDUFB8	CWF19L1	1	BRCA
HIF1AN	BTRC	1	KIRC
PAX2	EPHB3	1	SARC
MRPL43	OSBP2	1	SKCM
GTPBP4	WDR37	1	STAD
TLX1NB	CTBP2	1	ESCA
LINC01514	BTRC	1	OV
LBX1-AS1	GBF1:BTRC	2	SARC:STAD:PCPG
BTRC	MB21D1	1	ESCA
DPCD	DOCK1	1	GBM
KCNIP2-AS1	C10orf76	1	LGG
C10orf76	FBXW4:WBP1L:RIOK3	3	STAD:LUAD:OV:MESO
LDB1	C10orf76	1	ESCA
NOLC1	IRF2	1	STAD
GBF1	SUFU:MFSD13A:CAB39:FBXL15	4	STAD:BRCA:UCEC:BLCA
PSD	CCDC187	1	ESCA
FBXL15	PDCD11	1	SARC
ACTR1A	HS6ST3:CPN1:AUTS2	3	PCPG:LIHC:SARC
SUFU	SFXN2:WBP1L:CHCHD1	3	LIHC:CESC:LUAD:STAD:PRAD
TRIM8	WBP1L:GNPTG	2	LUAD:STAD
ARL3	CUEDC2	1	LIHC
SFXN2	PDCD11	1	LUAD
WBP1L	BORCS7	1	LIHC
CYP17A1-AS1	AS3MT	1	LIHC
BORCS7	AS3MT	1	LGG
AS3MT	AL355315.1	1	PRAD
CNNM2	MCU	1	LUAD
NT5C2	GBF1	1	COAD
INA	SLK:USP48:PDP1	3	PRAD:UCEC:SARC
PCGF6	NT5C2:LDB1	2	LUAD:BRCA
PDCD11	NEURL1:PLXDC2	2	LUSC:SARC
AL139339.1	BICC1	1	PRAD
NEURL1-AS1	AL117336.3	1	PRAD
NEURL1	COL17A1	1	HNSC
IDI2-AS1	WDR37:L3MBTL3	2	ACC:BLCA
SH3PXD2A	PTPRE	1	STAD
STN1	ACTR1A:SH3PXD2A	2	PRAD:HNSC:BRCA:LUAD:LUSC:STAD:BLCA
COL17A1	STN1:SMARCA5:SH3PXD2A	3	STAD:ESCA:BLCA
SFR1	CPSF6	1	BRCA
CFAP43	BAZ2B:STC2:COL17A1	3	ESCA:BRCA:LUSC
AL583859.2	ACSL1:SRPK2	2	LGG:LUAD
CFAP58-AS1	SH3PXD2A	1	STAD
SORCS3-AS1	FBXW4:IPMK:POMGNT2	3	OV:PRAD:PCPG
SORCS3	CHST15	1	STAD
SORCS1	MYH9:FIP1L1	2	READ:LUAD
WDR37	LARP4B	1	STAD
LINC01435	SH3PXD2A:ARHGEF7	2	SKCM:PRAD
CELF2	BCLAF1:SIRT1	2	BLCA:LUAD
AL356476.1	FAM160B1	1	UCS
XPNPEP1	ADD3:RASGRP3	2	BRCA:STAD
ADD3-AS1	TNKS2	1	BRCA
MXI1	TYR:SMC3:PLEKHG4B	3	SKCM:THCA:ESCA:BRCA
SMNDC1	PTPRK	1	CHOL
AL355512.1	CCDC186:TCF7L2	2	LGG:LUSC
DUSP5	SHOC2	1	STAD
RBM20	SHOC2:LCOR	2	ESCA:LIHC
PDCD4	SHOC2:ARHGEF12	2	BRCA:STAD
BBIP1	AC068896.1	1	LUAD
ACSL5	NCOA3:ZDHHC6:B4GALT4	3	STAD:LUAD:LUSC
ZDHHC6	PPP6R2	1	UCS
VTI1A	TCF7L2:STUM:FAM160B1	3	READ:LUAD:STAD:LIHC:THCA:PRAD:KIRC:UCEC:OV
AL139120.1	ZNF366:TNPO1	2	SARC
TCF7L2	PIK3IP1-AS1:ZDHHC6:NFAT5:CHD7	4	LUSC:STAD:PRAD:COAD
HABP2	LRMDA	1	STAD
CCDC186	FGFR2	1	CHOL
AFAP1L2	AC016831.1:INPP5A:GRID1	3	PRAD:LGG:SARC
ABLIM1	AFAP1L2:ARID5B:GOPC	3	THCA:BRCA:OV:STAD
USP6NL	LINC01535	1	PRAD
AL137025.1	FAM160B1:SEMA4B	2	OV:BRCA
TRUB1	CASP7	1	ESCA
