domain_pair	domain_1	domain_2	domain_desc_1	domain_desc_2	absolute_number	freq
2-Hacid_dh--2-Hacid_dh_C	2-Hacid_dh	2-Hacid_dh_C	D-isomerspecific2-hydroxyaciddehydrogenase,catalyticdomain	D-isomerspecific2-hydroxyaciddehydrogenase,NADbindingdomain	4	0.000197951205027961
3Beta_HSD--3Beta_HSD	3Beta_HSD	3Beta_HSD	3-betahydroxysteroiddehydrogenase/isomerasefamily	3-betahydroxysteroiddehydrogenase/isomerasefamily	1	4.94878012569901e-05
3HCDH--3HCDH	3HCDH	3HCDH	3-hydroxyacyl-CoAdehydrogenase,C-terminaldomain	3-hydroxyacyl-CoAdehydrogenase,C-terminaldomain	2	9.89756025139803e-05
3HCDH--3HCDH_N	3HCDH	3HCDH_N	3-hydroxyacyl-CoAdehydrogenase,C-terminaldomain	3-hydroxyacyl-CoAdehydrogenase,NADbindingdomain	4	0.000197951205027961
4HBT--4HBT	4HBT	4HBT	Thioesterasesuperfamily	Thioesterasesuperfamily	3	0.00014846340377097
5_nucleotid_C--5_nucleotid_C	5_nucleotid_C	5_nucleotid_C	5'-nucleotidase,C-terminaldomain	5'-nucleotidase,C-terminaldomain	1	4.94878012569901e-05
7tm_1--7tm_1	7tm_1	7tm_1	7transmembranereceptor(rhodopsinfamily)	7transmembranereceptor(rhodopsinfamily)	4	0.000197951205027961
A2M--A2M_N	A2M	A2M_N	Alpha-2-macroglobulinfamily	MG2domain	10	0.000494878012569902
A2M_comp--A2M_N	A2M_comp	A2M_N	A-macroglobulinTEDdomain	MG2domain	10	0.000494878012569902
A2M--A2M_N_2	A2M	A2M_N_2	Alpha-2-macroglobulinfamily	Alpha-2-macroglobulinbaitregiondomain	11	0.000544365813826892
A2M_N--A2M_N_2	A2M_N	A2M_N_2	MG2domain	Alpha-2-macroglobulinbaitregiondomain	10	0.000494878012569902
A2M_comp--A2M_N_2	A2M_comp	A2M_N_2	A-macroglobulinTEDdomain	Alpha-2-macroglobulinbaitregiondomain	11	0.000544365813826892
A2M--A2M_comp	A2M	A2M_comp	Alpha-2-macroglobulinfamily	A-macroglobulinTEDdomain	11	0.000544365813826892
A2M--A2M_recep	A2M	A2M_recep	Alpha-2-macroglobulinfamily	A-macroglobulinreceptorbindingdomain	11	0.000544365813826892
A2M_N--A2M_recep	A2M_N	A2M_recep	MG2domain	A-macroglobulinreceptorbindingdomain	10	0.000494878012569902
A2M_N_2--A2M_recep	A2M_N_2	A2M_recep	Alpha-2-macroglobulinbaitregiondomain	A-macroglobulinreceptorbindingdomain	11	0.000544365813826892
A2M_comp--A2M_recep	A2M_comp	A2M_recep	A-macroglobulinTEDdomain	A-macroglobulinreceptorbindingdomain	11	0.000544365813826892
AAA--AAA	AAA	AAA	ATPasefamilyassociatedwithvariouscellularactivities(AAA)	ATPasefamilyassociatedwithvariouscellularactivities(AAA)	7	0.000346414608798931
AAA_11--AAA_11	AAA_11	AAA_11	AAAdomain	AAAdomain	5	0.000247439006284951
AAA_11--AAA_12	AAA_11	AAA_12	AAAdomain	AAAdomain	10	0.000494878012569902
AAA_12--AAA_12	AAA_12	AAA_12	AAAdomain	AAAdomain	1	4.94878012569901e-05
AAA_12--AAA_30	AAA_12	AAA_30	AAAdomain	AAAdomain	1	4.94878012569901e-05
AAA_5--AAA_5	AAA_5	AAA_5	AAAdomain(dynein-relatedsubfamily)	AAAdomain(dynein-relatedsubfamily)	2	9.89756025139803e-05
AAA_5--AAA_6	AAA_5	AAA_6	AAAdomain(dynein-relatedsubfamily)	HydrolyticATPbindingsiteofdyneinmotorregion	12	0.000593853615083882
AAA_6--AAA_6	AAA_6	AAA_6	HydrolyticATPbindingsiteofdyneinmotorregion	HydrolyticATPbindingsiteofdyneinmotorregion	1	4.94878012569901e-05
AAA_5--AAA_7	AAA_5	AAA_7	AAAdomain(dynein-relatedsubfamily)	P-loopcontainingdyneinmotorregion	12	0.000593853615083882
AAA_6--AAA_7	AAA_6	AAA_7	HydrolyticATPbindingsiteofdyneinmotorregion	P-loopcontainingdyneinmotorregion	15	0.000742317018854852
AAA_5--AAA_8	AAA_5	AAA_8	AAAdomain(dynein-relatedsubfamily)	P-loopcontainingdyneinmotorregionD4	12	0.000593853615083882
AAA_6--AAA_8	AAA_6	AAA_8	HydrolyticATPbindingsiteofdyneinmotorregion	P-loopcontainingdyneinmotorregionD4	15	0.000742317018854852
AAA_7--AAA_8	AAA_7	AAA_8	P-loopcontainingdyneinmotorregion	P-loopcontainingdyneinmotorregionD4	14	0.000692829217597862
AAA_5--AAA_9	AAA_5	AAA_9	AAAdomain(dynein-relatedsubfamily)	ATP-bindingdyneinmotorregion	12	0.000593853615083882
AAA_6--AAA_9	AAA_6	AAA_9	HydrolyticATPbindingsiteofdyneinmotorregion	ATP-bindingdyneinmotorregion	15	0.000742317018854852
AAA_7--AAA_9	AAA_7	AAA_9	P-loopcontainingdyneinmotorregion	ATP-bindingdyneinmotorregion	14	0.000692829217597862
