Gene stable ID	Gene name	number_of_domains
ENSG00000000003	TSPAN6	1
ENSG00000000005	TNMD	1
ENSG00000000419	DPM1	1
ENSG00000000457	SCYL3	1
ENSG00000000460	C1orf112	1
ENSG00000000938	FGR	3
ENSG00000000971	CFH	19
ENSG00000001036	FUCA2	2
ENSG00000001084	GCLC	1
ENSG00000001167	NFYA	1
ENSG00000001460	STPG1	4
ENSG00000001461	NIPAL3	1
ENSG00000001497	LAS1L	1
ENSG00000001561	ENPP4	1
ENSG00000001617	SEMA3F	1
ENSG00000001626	CFTR	5
ENSG00000001629	ANKIB1	4
ENSG00000001630	CYP51A1	2
ENSG00000001631	KRIT1	3
ENSG00000002016	RAD52	1
ENSG00000002330	BAD	1
ENSG00000002549	LAP3	2
ENSG00000002586	CD99	1
ENSG00000002587	HS3ST1	1
ENSG00000002726	AOC1	4
ENSG00000002745	WNT16	1
ENSG00000002746	HECW1	4
ENSG00000002822	MAD1L1	1
ENSG00000002834	LASP1	4
ENSG00000002919	SNX11	1
ENSG00000002933	TMEM176A	1
ENSG00000003056	M6PR	2
ENSG00000003096	KLHL13	7
ENSG00000003137	CYP26B1	1
ENSG00000003147	ICA1	3
ENSG00000003249	DBNDD1	1
ENSG00000003393	ALS2	14
ENSG00000003400	CASP10	3
ENSG00000003402	CFLAR	3
ENSG00000003436	TFPI	3
ENSG00000003509	NDUFAF7	1
ENSG00000003756	RBM5	3
ENSG00000003987	MTMR7	2
ENSG00000003989	SLC7A2	2
ENSG00000004059	ARF5	1
ENSG00000004139	SARM1	3
ENSG00000004142	POLDIP2	2
ENSG00000004399	PLXND1	7
ENSG00000004455	AK2	2
ENSG00000004468	CD38	1
ENSG00000004478	FKBP4	4
ENSG00000004487	KDM1A	2
ENSG00000004534	RBM6	1
ENSG00000004660	CAMKK1	1
ENSG00000004700	RECQL	3
ENSG00000004766	VPS50	2
ENSG00000004776	HSPB6	2
ENSG00000004777	ARHGAP33	2
ENSG00000004779	NDUFAB1	1
ENSG00000004799	PDK4	2
ENSG00000004809	SLC22A16	1
ENSG00000004838	ZMYND10	1
ENSG00000004846	ABCB5	4
ENSG00000004848	ARX	2
ENSG00000004864	SLC25A13	3
ENSG00000004866	ST7	1
ENSG00000004897	CDC27	5
ENSG00000004939	SLC4A1	3
ENSG00000004948	CALCR	2
ENSG00000004961	HCCS	1
ENSG00000004975	DVL2	5
ENSG00000005001	PRSS22	1
ENSG00000005007	UPF1	4
ENSG00000005020	SKAP2	2
ENSG00000005022	SLC25A5	3
ENSG00000005059	MCUB	1
ENSG00000005073	HOXA11	2
ENSG00000005075	POLR2J	1
ENSG00000005100	DHX33	4
ENSG00000005102	MEOX1	1
ENSG00000005108	THSD7A	11
ENSG00000005156	LIG3	5
ENSG00000005175	RPAP3	5
ENSG00000005187	ACSM3	2
ENSG00000005189	REXO5	2
ENSG00000005194	CIAPIN1	3
ENSG00000005206	SPPL2B	2
ENSG00000005238	FAM214B	2
ENSG00000005243	COPZ2	1
ENSG00000005249	PRKAR2B	3
ENSG00000005302	MSL3	2
ENSG00000005339	CREBBP	8
ENSG00000005379	TSPOAP1	3
ENSG00000005381	MPO	1
ENSG00000005421	PON1	1
ENSG00000005436	GCFC2	1
ENSG00000005448	WDR54	0
ENSG00000005469	CROT	1
ENSG00000005471	ABCB4	4
ENSG00000005483	KMT2E	2
ENSG00000005486	RHBDD2	1
ENSG00000005513	SOX8	2
ENSG00000005700	IBTK	6
ENSG00000005801	ZNF195	8
ENSG00000005810	MYCBP2	8
