Name,SK,Group,Family,Subfamily,Pseudogene?,Header,Entrez_GeneID,RefSeq cDNA (Jan 07),Refseq mRNA,gi_mRNA,Refseq protein,gi_protein,Old_Name,Entrez_Symbol,Entrez_Synonyms,Entrez_dbXrefs,Entrez_Chromosome,Entrez_map_location,Entrez_symbol_from_nomenclature_authority
AKT1,SK018,AGC,Akt,,N,AGC_AKT__SK018_AKT1,207,NM_001014431,NM_001014431.1,62241012,NP_001014431.1,62241013,AKT1,AKT1,AKT|MGC99656|PKB|PRKBA|RAC|RAC-ALPHA,HGNC:391|MIM:164730|HPRD:01261,14,14q32.32|14q32.32,AKT1
AKT2,SK019,AGC,Akt,,N,AGC_AKT__SK019_AKT2,208,NM_001626,NM_001626.2,6715585,NP_001617.1,4502023,AKT2,AKT2,PKBBETA|PRKBB|RAC-BETA,HGNC:392|MIM:164731|HPRD:01262,19,19q13.1-q13.2,AKT2
AKT3,SK020,AGC,Akt,,N,AGC_AKT__SK020_AKT3,10000,NM_005465,NM_005465.3,32307164,NP_005456.1,4885549,AKT3,AKT3,DKFZP434N0250|PKBG|PRKBG|RAC-PK-gamma|RAC-gamma|STK-2,HGNC:393|HPRD:06441,1,1q43-q44,AKT3
CRIK,SK695,AGC,DMPK,CRIK,N,AGC_DMPK__SK695_CRIK,11113,NM_007174,NM_007174.1,32698687,NP_009105.1,32698688,CRIK,CIT,CRIK|KIAA0949|STK21,HGNC:1985|MIM:605629|HPRD:09289,12,12q24,CIT
DMPK1,SK111,AGC,DMPK,GEK,N,AGC_DMPK_GEK_SK111_DMPK1,1760,NM_004409,NM_004409.2,47059023,NP_004400.4,47059024,DMPK1,DMPK,DM|DM1|DM1PK|DMK,HGNC:2933|MIM:605377|HPRD:05645,19,19q13.3,DMPK
MRCKa,SK299,AGC,DMPK,GEK,N,AGC_DMPK_GEK_SK299_MRCKa,8476,NM_014826,NM_014826.4,113204434,NP_055641.3,30089960,MRCKa,CDC42BPA,DKFZp686L1738|DKFZp686P1738|FLJ23347|KIAA0451|MRCK|MRCKA|PK428,HGNC:1737|MIM:603412|HPRD:04562,1,1q42.11,CDC42BPA
MRCKb,SK241,AGC,DMPK,GEK,N,AGC_DMPK_GEK_SK241_MRCKb,9578,NM_006035,NM_006035.3,115527096,NP_006026.3,115527097,MRCKb,CDC42BPB,KIAA1124|MRCKB,HGNC:1738|HPRD:08516,14,14q32.3,CDC42BPB
DMPK2,SK112,AGC,DMPK,GEK,N,AGC_DMPK_GEK_SK112_DMPK2,55561,NM_017525,NM_017525.1,50878264,NP_059995.1,50878265,DMPK2,CDC42BPG,DMPK2|HSMDPKIN|KAPPA-200|MRCKgamma,HGNC:29829|HPRD:13013,11,11q13.1,CDC42BPG
ROCK1,SK331,AGC,DMPK,ROCK,N,AGC_DMPK_ROCK_SK331_ROCK1,6093,NM_005406,NM_005406.2,112382209,NP_005397.1,4885583,ROCK1,ROCK1,MGC131603|MGC43611|P160ROCK,HGNC:10251|MIM:601702|HPRD:03414,18,18q11.1,ROCK1
ROCK2,SK263,AGC,DMPK,ROCK,N,AGC_DMPK_ROCK_SK263_ROCK2,9475,NM_004850,NM_004850.3,41872582,NP_004841.2,41872583,ROCK2,ROCK2,KIAA0619,HGNC:10252|MIM:604002|HPRD:04922,2,2p24,ROCK2
BARK1,SK045,AGC,GRK,BARK,N,AGC_GRK_BARK_SK045_BARK1,156,NM_001619,NM_001619.2,6138971,NP_001610.1,4501971,BARK1,ADRBK1,BARK1|BETA-ARK1|GRK2,HGNC:289|MIM:109635|HPRD:00182,11,11q13,ADRBK1
BARK2,SK478,AGC,GRK,BARK,N,AGC_GRK_BARK_SK478_BARK2,157,NM_005160,NM_005160.2,6138972,NP_005151.1,4885055,BARK2,ADRBK2,BARK2|GRK3,HGNC:290|MIM:109636|HPRD:00183,22,22q11|22q12.1,ADRBK2
GPRK4,SK156,AGC,GRK,GRK,N,AGC_GRK_GRK_SK156_GPRK4,2868,NM_182982,NM_182982.2,51873042,NP_892027.2,51873043,GPRK4,GRK4,GPRK2L|GPRK4|GRK4a|IT11,HGNC:4543|MIM:137026|HPRD:00656,4,4p16.3,GRK4
