Pfam_name	Pfam_description	freq	freq1
empty	NA	1576	0.0780584447746409
7tm_1	7transmembranereceptor(rhodopsinfamily)	284	0.0140663694898465
7tm_2	7transmembranereceptor(Secretinfamily)	49	0.00242694403169886
7tm_3	7transmembranesweet-tastereceptorof3GCPR	22	0.00108964834076275
AAA	ATPasefamilyassociatedwithvariouscellularactivities(AAA)	47	0.00232788509162952
ABC_tran	ABCtransporter	49	0.00242694403169886
ATP-synt_ab	ATPsynthasealpha/betafamily,nucleotide-bindingdomain	5	0.000247647350173353
Cys_knot	Cystine-knotdomain	17	0.000842000990589401
EGF	EGF-likedomain	68	0.0033680039623576
GTP_EFTU	ElongationfactorTuGTPbindingdomain	19	0.000941059930658742
HLH	Helix-loop-helixDNA-bindingdomain	108	0.00534918276374443
HSP20	Hsp20/alphacrystallinfamily	12	0.000594353640416047
HSP70	Hsp70protein	14	0.000693412580485389
KH_1	KHdomain	36	0.00178306092124814
Kunitz_BPTI	Kunitz/Bovinepancreatictrypsininhibitordomain	20	0.000990589400693413
SH2	SH2domain	101	0.00500247647350173
SH3_1	SH3domain	97	0.00480435859336305
TGF_beta	Transforminggrowthfactorbetalikedomain	37	0.00183259039128281
TNFR_c6	TNFR/NGFRcysteine-richregion	22	0.00108964834076275
UPAR_LY6	u-PAR/Ly-6domain	18	0.000891530460624071
Actin	Actin	31	0.00153541357107479
Ank	Ankyrinrepeat	42	0.00208023774145617
PAN_1	PANdomain	7	0.000346706290242694
Arf	ADP-ribosylationfactorfamily	34	0.0016840019811788
Asp	Eukaryoticaspartylprotease	11	0.000544824170381377
cNMP_binding	Cyclicnucleotide-bindingdomain	33	0.00163447251114413
Cadherin	Cadherindomain	114	0.00564635958395245
Connexin	Connexin	22	0.00108964834076275
Crystall	Beta/Gammacrystallin	15	0.000742942050520059
Cystatin	Cystatindomain	17	0.000842000990589401
Cytochrom_C	Cytochromec	1	4.95294700346706e-05
dsrm	Double-strandedRNAbindingmotif	17	0.000842000990589401
EF-hand_1	EFhand	13	0.000643883110450718
Fer4	4Fe-4Sbindingdomain	1	4.95294700346706e-05
Filament	Intermediatefilamentprotein	75	0.0037147102526003
fn1	FibronectintypeIdomain	4	0.000198117880138683
fn2	FibronectintypeIIdomain	14	0.000693412580485389
fn3	FibronectintypeIIIdomain	137	0.00678553739474988
Globin	Globin	13	0.000643883110450718
GST_C	GlutathioneS-transferase,C-terminaldomain	15	0.000742942050520059
Gp_dh_N	Glyceraldehyde3-phosphatedehydrogenase,NADbindingdomain	2	9.90589400693413e-05
Hemopexin	Hemopexin	24	0.00118870728083209
Homeobox	Homeodomain	217	0.0107478949975235
ig	Immunoglobulindomain	65	0.00321941555225359
IL8	Smallcytokines(intecrine/chemokine),interleukin-8like	45	0.00222882615156018
Insulin	Insulin/IGF/Relaxinfamily	10	0.000495294700346706
Kazal_1	Kazal-typeserineproteaseinhibitordomain	14	0.000693412580485389
Kringle	Kringledomain	16	0.00079247152055473
Laminin_B	LamininB(DomainIV)	8	0.000396235760277365
Laminin_EGF	LamininEGFdomain	31	0.00153541357107479
Laminin_G_1	LamininGdomain	10	0.000495294700346706
Laminin_N	LamininN-terminal(DomainVI)	16	0.00079247152055473
Ldh_1_N	lactate/malatedehydrogenase,NADbindingdomain	8	0.000396235760277365
Ldl_recept_a	Low-densitylipoproteinreceptordomainclassA	43	0.00212976721149084
Ldl_recept_b	Low-densitylipoproteinreceptorrepeatclassB	14	0.000693412580485389
Lectin_C	LectinC-typedomain	87	0.00430906389301635
Lig_chan	Ligand-gatedionchannel	18	0.000891530460624071
Lipocalin	Lipocalin/cytosolicfatty-acidbindingproteinfamily	34	0.0016840019811788
Lys	C-typelysozyme/alpha-lactalbuminfamily	9	0.000445765230312036
Myosin_head	Myosinhead(motordomain)	39	0.00193164933135215
Notch	LNRdomain	6	0.000297176820208024
p450	CytochromeP450	61	0.00302129767211491
Phospholip_A2_1	PhospholipaseA2	10	0.000495294700346706
Pkinase	Proteinkinasedomain	359	0.0177810797424468
Ras	Rasfamily	140	0.00693412580485389
RnaseA	Pancreaticribonuclease	16	0.00079247152055473
RNase_H	RNaseH	2	9.90589400693413e-05
RRM_1	RNArecognitionmotif.(a.k.a.RRM,RBD,orRNPdomain)	211	0.0104507181773155
RVT_1	Reversetranscriptase(RNA-dependentDNApolymerase)	1	4.95294700346706e-05
Serpin	Serpin(serineproteaseinhibitor)	36	0.00178306092124814
Sod_Cu	Copper/zincsuperoxidedismutase(SODC)	3	0.000148588410104012
Sod_Fe_N	Iron/manganesesuperoxidedismutases,alpha-hairpindomain	1	4.95294700346706e-05
Peptidase_S8	Subtilasefamily	10	0.000495294700346706
Sugar_tr	Sugar(andother)transporter	35	0.00173353145121347
Sushi	Sushirepeat(SCRrepeat)	52	0.00257553244180287
Thioredoxin	Thioredoxin	29	0.00143635463100545
Thyroglobulin_1	Thyroglobulintype-1repeat	17	0.000842000990589401
Toxin_TOLIP	Snaketoxinandtoxin-likeprotein	2	9.90589400693413e-05
Trefoil	Trefoil(P-type)domain	8	0.000396235760277365
Trypsin	Trypsin	120	0.00594353640416048
TSP_1	Thrombospondintype1domain	56	0.00277365032194156
Tubulin	Tubulin/FtsZfamily,GTPasedomain	24	0.00118870728083209
VWA	vonWillebrandfactortypeAdomain	47	0.00232788509162952
VWC	vonWillebrandfactortypeCdomain	26	0.00128776622090144
VWD	vonWillebrandfactortypeDdomain	15	0.000742942050520059
WAP	WAP-type(WheyAcidicProtein)'four-disulfidecore'	15	0.000742942050520059
zf-C2H2	Zincfinger,C2H2type	538	0.0266468548786528
zf-C3HC4	Zincfinger,C3HC4type(RINGfinger)	28	0.00138682516097078
zf-CCHC	Zincknuckle	20	0.000990589400693413
Zona_pellucida	Zonapellucida-likedomain	18	0.000891530460624071
Y_phosphatase	Protein-tyrosinephosphatase	37	0.00183259039128281
Hormone_1	Somatotropinhormonefamily	6	0.000297176820208024
Hormone_recep	Ligand-bindingdomainofnuclearhormonereceptor	48	0.00237741456166419
zf-C4	Zincfinger,C4type(twodomains)	46	0.00227835562159485
adh_short	shortchaindehydrogenase	48	0.00237741456166419
ADH_zinc_N	Zinc-bindingdehydrogenase	16	0.00079247152055473
Thiolase_N	Thiolase,N-terminaldomain	6	0.000297176820208024
ketoacyl-synt	Beta-ketoacylsynthase,N-terminaldomain	2	9.90589400693413e-05
wnt	wntfamily	19	0.000941059930658742
Fer2	2Fe-2Siron-sulfurclusterbindingdomain	5	0.000247647350173353
Peptidase_C1	Papainfamilycysteineprotease	13	0.000643883110450718
Enolase_C	Enolase,C-terminalTIMbarreldomain	4	0.000198117880138683
GATase	Glutamineamidotransferaseclass-I	5	0.000247647350173353
Cpn60_TCP1	TCP-1/cpn60chaperoninfamily	15	0.000742942050520059
Gln-synt_C	Glutaminesynthetase,catalyticdomain	2	9.90589400693413e-05
TIM	Triosephosphateisomerase	1	4.95294700346706e-05
E1-E2_ATPase	E1-E2ATPase	36	0.00178306092124814
Hormone_2	Peptidehormone	6	0.000297176820208024
Histone	CorehistoneH2A/H2B/H3/H4	66	0.00326894502228826
Alpha-amylase	Alphaamylase,catalyticdomain	8	0.000396235760277365
MHC_I	ClassIHistocompatibilityantigen,domainsalpha1and2	18	0.000891530460624071
