domain	absolute_number	freq	Pfam_id	Pfam_description
1-cysPrx_C	6	0.000197895708961377	PF10417	C-terminaldomainof1-Cysperoxiredoxin
14-3-3	46	0.00151720043537056	PF00244	14-3-3protein
2-Hacid_dh	11	0.000362808799762525	PF00389	D-isomerspecific2-hydroxyaciddehydrogenase,catalyticdomain
2-Hacid_dh_C	8	0.000263860945281836	PF02826	D-isomerspecific2-hydroxyaciddehydrogenase,NADbindingdomain
2-oxoacid_dh	4	0.000131930472640918	PF00198	2-oxoaciddehydrogenasesacyltransferase(catalyticdomain)
23ISL	4	0.000131930472640918	PF16620	UnstructuredlinkerbetweenI-setdomains2and3onMYLCK
2Fe-2S_thioredx	3	9.89478544806887e-05	PF01257	Thioredoxin-like[2Fe-2S]ferredoxin
2OG-FeII_Oxy_2	4	0.000131930472640918	PF13532	2OG-Fe(II)oxygenasesuperfamily
2OG-FeII_Oxy_3	6	0.000197895708961377	PF13640	2OG-Fe(II)oxygenasesuperfamily
3Beta_HSD	1	3.29826181602296e-05	PF01073	3-betahydroxysteroiddehydrogenase/isomerasefamily
3HCDH	5	0.000164913090801148	PF00725	3-hydroxyacyl-CoAdehydrogenase,C-terminaldomain
3HCDH_N	7	0.000230878327121607	PF02737	3-hydroxyacyl-CoAdehydrogenase,NADbindingdomain
40S_S4_C	4	0.000131930472640918	PF16121	40SribosomalproteinS4C-terminus
40S_SA_C	1	3.29826181602296e-05	PF16122	40SribosomalproteinSAC-terminus
4F5	4	0.000131930472640918	PF04419	4F5proteinfamily
4HBT	15	0.000494739272403443	PF03061	Thioesterasesuperfamily
4HBT_2	2	6.59652363204591e-05	PF13279	Thioesterase-likesuperfamily
4_1_CTD	6	0.000197895708961377	PF05902	4.1proteinC-terminaldomain(CTD)
5-FTHF_cyc-lig	3	9.89478544806887e-05	PF01812	5-formyltetrahydrofolatecyclo-ligasefamily
53-BP1_Tudor	2	6.59652363204591e-05	PF09038	Tumoursuppressorp53-bindingprotein-1Tudor
5HT_transport_N	1	3.29826181602296e-05	PF03491	Serotonin(5-HT)neurotransmittertransporter,N-terminus
5_nucleotid	7	0.000230878327121607	PF05761	5'nucleotidasefamily
60KD_IMP	3	9.89478544806887e-05	PF02096	60Kdinnermembraneprotein
6PF2K	6	0.000197895708961377	PF01591	6-phosphofructo-2-kinase
6PGD	4	0.000131930472640918	PF00393	6-phosphogluconatedehydrogenase,C-terminaldomain
7tm_1	60	0.00197895708961377	PF00001	7transmembranereceptor(rhodopsinfamily)
7tm_2	37	0.00122035687192849	PF00002	7transmembranereceptor(Secretinfamily)
7tm_3	14	0.000461756654243214	PF00003	7transmembranesweet-tastereceptorof3GCPR
7tm_4	5	0.000164913090801148	PF13853	Olfactoryreceptor
A1_Propeptide	1	3.29826181602296e-05	PF07966	A1Propeptide
A2M	5	0.000164913090801148	PF00207	Alpha-2-macroglobulinfamily
A2M_N	8	0.000263860945281836	PF01835	MG2domain
A2M_N_2	7	0.000230878327121607	PF07703	Alpha-2-macroglobulinbaitregiondomain
A2M_comp	6	0.000197895708961377	PF07678	A-macroglobulinTEDdomain
A2M_recep	3	9.89478544806887e-05	PF07677	A-macroglobulinreceptorbindingdomain
AAA	40	0.00131930472640918	PF00004	ATPasefamilyassociatedwithvariouscellularactivities(AAA)
AAA_11	11	0.000362808799762525	PF13086	AAAdomain
AAA_12	8	0.000263860945281836	PF13087	AAAdomain
AAA_16	3	9.89478544806887e-05	PF13191	AAAATPasedomain
AAA_18	1	3.29826181602296e-05	PF13238	AAAdomain
AAA_19	1	3.29826181602296e-05	PF13245	AAAdomain
AAA_2	5	0.000164913090801148	PF07724	AAAdomain(Cdc48subfamily)
AAA_22	8	0.000263860945281836	PF13401	AAAdomain
AAA_23	5	0.000164913090801148	PF13476	AAAdomain
AAA_30	3	9.89478544806887e-05	PF13604	AAAdomain
AAA_33	15	0.000494739272403443	PF13671	AAAdomain
AAA_34	3	9.89478544806887e-05	PF13872	P-loopcontainingNTPhydrolasepore-1
AAA_5	31	0.00102246116296712	PF07728	AAAdomain(dynein-relatedsubfamily)
AAA_6	29	0.000956495926646657	PF12774	HydrolyticATPbindingsiteofdyneinmotorregion
AAA_7	26	0.000857548072165968	PF12775	P-loopcontainingdyneinmotorregion
AAA_8	29	0.000956495926646657	PF12780	P-loopcontainingdyneinmotorregionD4
AAA_9	28	0.000923513308486428	PF12781	ATP-bindingdyneinmotorregion
AAR2	1	3.29826181602296e-05	PF05282	AAR2protein
AARP2CN	2	6.59652363204591e-05	PF08142	AARP2CN(NUC121)domain
AATF-Che1	8	0.000263860945281836	PF13339	Apoptosisantagonizingtranscriptionfactor
AA_kinase	1	3.29826181602296e-05	PF00696	Aminoacidkinasefamily
AA_permease	12	0.000395791417922755	PF00324	Aminoacidpermease
AA_permease_2	10	0.000329826181602296	PF13520	Aminoacidpermease
AA_permease_C	3	9.89478544806887e-05	PF13906	C-terminusofAA_permease
AA_permease_N	8	0.000263860945281836	PF08403	AminoacidpermeaseN-terminal
ABC1	3	9.89478544806887e-05	PF03109	ABC1family
ABC2_membrane	9	0.000296843563442066	PF01061	ABC-2typetransporter
ABC2_membrane_3	9	0.000296843563442066	PF12698	ABC-2familytransporterprotein
ABC_membrane	44	0.0014512351990501	PF00664	ABCtransportertransmembraneregion
ABC_membrane_2	5	0.000164913090801148	PF06472	ABCtransportertransmembraneregion2
ABC_tran	61	0.002011939707774	PF00005	ABCtransporter
ABC_tran_Xtn	3	9.89478544806887e-05	PF12848	ABCtransporter
ABC_trans_CmpB	1	3.29826181602296e-05	PF06541	PutativeABC-transportertypeIV
ABC_transp_aux	2	6.59652363204591e-05	PF09822	ABC-typeuncharacterizedtransportsystem
ACAS_N	15	0.000494739272403443	PF16177	Acetyl-coenzymeAsynthetaseN-terminus
ACBP	7	0.000230878327121607	PF00887	AcylCoAbindingprotein
ACC_central	15	0.000494739272403443	PF08326	Acetyl-CoAcarboxylase,centralregion
ACOX	5	0.000164913090801148	PF01756	Acyl-CoAoxidase
ACPS	2	6.59652363204591e-05	PF01648	4'-phosphopantetheinyltransferasesuperfamily
ACT	2	6.59652363204591e-05	PF01842	ACTdomain
AC_N	16	0.000527721890563673	PF16214	AdenylylcyclaseN-terminalextracellularandtransmembraneregion
AD	1	3.29826181602296e-05	PF09793	Anticodon-bindingdomain
ADAM17_MPD	1	3.29826181602296e-05	PF16698	Membrane-proximaldomain,switch,forADAM17
ADAM_CR	16	0.000527721890563673	PF08516	ADAMcysteine-rich
ADAM_spacer1	21	0.000692634981364821	PF05986	ADAM-TSSpacer1
ADH_N	9	0.000296843563442066	PF08240	AlcoholdehydrogenaseGroES-likedomain
ADH_N_2	9	0.000296843563442066	PF16884	N-terminaldomainofoxidoreductase
ADH_zinc_N	13	0.000428774036082984	PF00107	Zinc-bindingdehydrogenase
ADH_zinc_N_2	2	6.59652363204591e-05	PF13602	Zinc-bindingdehydrogenase
ADK	26	0.000857548072165968	PF00406	Adenylatekinase
ADP_ribosyl_GH	1	3.29826181602296e-05	PF03747	ADP-ribosylglycohydrolase
AF-4	9	0.000296843563442066	PF05110	AF-4proto-oncoprotein
AFG1_ATPase	2	6.59652363204591e-05	PF03969	AFG1-likeATPase
AGTRAP	1	3.29826181602296e-05	PF06396	AngiotensinII,typeIreceptor-associatedprotein(AGTRAP)
AI-2E_transport	3	9.89478544806887e-05	PF01594	AI-2Efamilytransporter
AICARFT_IMPCHas	1	3.29826181602296e-05	PF01808	AICARFT/IMPCHasebienzyme
AIF_C	1	3.29826181602296e-05	PF14721	Apoptosis-inducingfactor,mitochondrion-associated,C-term
AIG1	5	0.000164913090801148	PF04548	AIG1family
AIG2_2	6	0.000197895708961377	PF13772	AIG2-likefamily
AIP3	7	0.000230878327121607	PF03915	Actininteractingprotein3
AIRC	1	3.29826181602296e-05	PF00731	AIRcarboxylase
AIRS_C	1	3.29826181602296e-05	PF02769	AIRsynthaserelatedprotein,C-terminaldomain
AKAP2_C	3	9.89478544806887e-05	PF15304	A-kinaseanchorprotein2C-terminus
AKAP7_NLS	23	0.00075860021768528	PF10469	AKAP72'5'RNAligase-likedomain
AKAP7_RIRII_bdg	3	9.89478544806887e-05	PF10470	PKA-RI-RIIsubunitbindingdomainofA-kinaseanchorprotein
