domain_2	domain_1	domain_domain_interaction	count_new	frequency	domain1_description	domain2_description	marginal_count_domain1_on_5prime_side	marginal_freq_domain1_on_5prime_side	marginal_count_domain2_on_3prime_side	marginal_freq_domain2_on_3prime_side	marginal_count_domain2_on_5prime_side	marginal_freq_domain2_on_5prime_side	marginal_count_domain1_on_3prime_side	marginal_freq_domain1_on_3prime_side	same_domains	normal_freq_domain_1	normal_freq_domain_2	pairbinom.lower	null_prob	foldchange	p_value
ANAPC4_WD40	Actin	Actin--ANAPC4_WD40	8	0.000253405131453912	Actin	Anaphase-promotingcomplexsubunit4WD40domain	31	0.00102246116296712	7	0.000230878327121607	13	0.000428774036082984	20	0.000659652363204591	0	0.00153541357107479	0.00108964834076275	2.88486245454411e-05	3.34612170021251e-06	75.7309967051762	4.10043845856622e-15
BH4	Ammonium_transp	Ammonium_transp--BH4	2	6.3351282863478e-05	AmmoniumTransporterFamily	Bcl-2homologyregion4	0	0	0	0	4	0.000131930472640918	5	0.000164913090801148	0	0.000247647350173353	0.000198117880138683	1.00939549274592e-07	9.81267360766136e-08	645.606746911624	4.94292955263685e-09
Bromodomain	BCOR	BCOR--Bromodomain	6	0.000190053848590434	BCL-6co-repressor,non-ankyrin-repeatregion	Bromodomain	1	3.29826181602296e-05	24	0.000791582835845509	47	0.00155018305353079	6	0.000197895708961377	0	9.90589400693413e-05	0.00193164933135215	1.3243871181734e-05	3.82694270698792e-07	496.620574547405	7.37185241878462e-18
CDP-OH_P_transf	AAA_30	AAA_30--CDP-OH_P_transf	2	6.3351282863478e-05	AAAdomain	CDP-alcoholphosphatidyltransferase	1	3.29826181602296e-05	0	0	9	0.000296843563442066	2	6.59652363204591e-05	0	9.90589400693413e-05	0.000247647350173353	1.00939549274592e-07	4.90633680383067e-08	1291.21349382325	6.18584233291139e-10
CoA_transf_3	Aa_trans	Aa_trans--CoA_transf_3	4	0.000126702565726956	Transmembraneaminoacidtransporterprotein	CoA-transferasefamilyIII	22	0.00072561759952505	18	0.000593687126884132	16	0.000527721890563673	9	0.000296843563442066	0	0.000842000990589401	9.90589400693413e-05	3.4094320602307e-06	1.66815451330243e-07	759.537349307794	3.35992765210257e-14
CoA_transf_3	Branch	Branch--CoA_transf_3	4	0.000126702565726956	Core-2/I-Branchingenzyme	CoA-transferasefamilyIII	2	6.59652363204591e-05	18	0.000593687126884132	16	0.000527721890563673	1	3.29826181602296e-05	0	0.000346706290242694	9.90589400693413e-05	3.4094320602307e-06	6.86887152536294e-08	1844.59070546179	3.98746051711836e-16
CoA_transf_3	Cation_efflux	Cation_efflux--CoA_transf_3	3	9.5026924295217e-05	Cationeffluxfamily	CoA-transferasefamilyIII	14	0.000461756654243214	18	0.000593687126884132	16	0.000527721890563673	8	0.000263860945281836	0	0.000495294700346706	9.90589400693413e-05	9.98575935606816e-07	9.81267360766134e-08	968.410120367438	3.82717077786127e-12
Colipase	Alpha-amylase	Alpha-amylase--Colipase	3	9.5026924295217e-05	Alphaamylase,catalyticdomain	Colipase,N-terminaldomain	5	0.000164913090801148	0	0	3	9.89478544806887e-05	5	0.000164913090801148	0	0.000396235760277365	4.95294700346706e-05	9.98575935606816e-07	3.92506944306453e-08	2421.0253009186	9.81213383197185e-14
Colipase	Alpha-amylase_C	Alpha-amylase_C--Colipase	3	9.5026924295217e-05	Alphaamylase,C-terminalall-betadomain	Colipase,N-terminaldomain	1	3.29826181602296e-05	0	0	3	9.89478544806887e-05	4	0.000131930472640918	0	0.000247647350173353	4.95294700346706e-05	9.98575935606816e-07	2.45316840191533e-08	3873.64048146975	1.49776939707059e-14
Cyclin_N	Amidohydro_2	Amidohydro_2--Cyclin_N	3	9.5026924295217e-05	Amidohydrolase	Cyclin,N-terminaldomain	0	0	12	0.000395791417922755	26	0.000857548072165968	3	9.89478544806887e-05	0	4.95294700346706e-05	0.00158494304110946	9.98575935606816e-07	1.57002777722581e-07	605.256325229649	2.50444879518047e-11
DMPK_coil	COX16	COX16--DMPK_coil	2	6.3351282863478e-05	CytochromecoxidaseassemblyproteinCOX16	DMPKcoiledcoildomainlike	0	0	0	0	6	0.000197895708961377	2	6.59652363204591e-05	0	9.90589400693413e-05	0.000198117880138683	1.00939549274592e-07	3.92506944306455e-08	1614.01686727906	3.16788709332134e-10
DUF1154	Ago_hook	Ago_hook--DUF1154	2	6.3351282863478e-05	Argonautehook	Proteinofunknownfunction(DUF1154)	5	0.000164913090801148	3	9.89478544806887e-05	2	6.59652363204591e-05	0	0	0	0.000148588410104012	9.90589400693413e-05	1.00939549274592e-07	2.94380208229841e-08	2152.02248970541	1.33676286800954e-10
DUF1899	Actin	Actin--DUF1899	8	0.000253405131453912	Actin	Domainofunknownfunction(DUF1899)	31	0.00102246116296712	7	0.000230878327121607	12	0.000395791417922755	20	0.000659652363204591	0	0.00153541357107479	0.000396235760277365	2.88486245454411e-05	1.21677152735001e-06	208.260240939234	4.84269015304375e-19
DUF2039	Amidohydro_1	Amidohydro_1--DUF2039	2	6.3351282863478e-05	Amidohydrolasefamily	Uncharacterizedconservedprotein(DUF2039)	7	0.000230878327121607	2	6.59652363204591e-05	2	6.59652363204591e-05	4	0.000131930472640918	0	0.000495294700346706	4.95294700346706e-05	1.00939549274592e-07	4.90633680383067e-08	1291.21349382325	6.18584233291139e-10
DUF3504	ArgoN	ArgoN--DUF3504	2	6.3351282863478e-05	N-terminaldomainofargonaute	Domainofunknownfunction(DUF3504)	6	0.000197895708961377	4	0.000131930472640918	1	3.29826181602296e-05	1	3.29826181602296e-05	0	0.000198117880138683	0.000247647350173353	1.00939549274592e-07	9.81267360766136e-08	645.606746911624	4.94292955263685e-09
DUF3808	CAP	CAP--DUF3808	3	9.5026924295217e-05	Cysteine-richsecretoryproteinfamily	Proteinofunknownfunction(DUF3808)	6	0.000197895708961377	3	9.89478544806887e-05	11	0.000362808799762525	4	0.000131930472640918	0	0.000742942050520059	0.000148588410104012	9.98575935606816e-07	2.2078515617238e-07	430.404497941083	9.77829029945322e-11
DUF3808	Crisp	Crisp--DUF3808	3	9.5026924295217e-05	Crisp	Proteinofunknownfunction(DUF3808)	0	0	3	9.89478544806887e-05	11	0.000362808799762525	4	0.000131930472640918	0	0.000148588410104012	0.000148588410104012	9.98575935606816e-07	4.41570312344761e-08	2152.02248970541	1.57151940027522e-13
