domain	absolute_number	freq	Pfam_id	Pfam_description.x	Pfam_description.y	normal_freq	binom.lower	fold_change	p_value
14-3-3	46	0.00151720043537056	PF00244	14-3-3protein	14-3-3protein	0.000346706290242694	0.000700105022409803	4.37603954144738	1.37479109263401e-16
ACC_central	15	0.000494739272403443	PF08326	Acetyl-CoAcarboxylase,centralregion	Acetyl-CoAcarboxylase,centralregion	9.90589400693413e-05	0.000113141558630514	4.99439295491276	1.25603920127222e-07
AKAP7_NLS	23	0.00075860021768528	PF10469	AKAP72'5'RNAligase-likedomain	AKAP72'5'RNAligase-likedomain	0.000148588410104012	0.000242086371703309	5.10537946502193	1.05310815595261e-10
APG5	11	0.000362808799762525	PF04106	AutophagyproteinApg5	AutophagyproteinApg5	4.95294700346706e-05	6.03695291918616e-05	7.32510966720538	6.89458952218303e-08
AT_hook	25	0.000824565454005739	PF02178	AThookmotif	AThookmotif	4.95294700346706e-05	0.000277732700200151	16.6479765163759	2.25899394225806e-23
Atg14	32	0.00105544378112735	PF10186	Vacuolarsorting38andautophagy-relatedsubunit14	Vacuolarsorting38andautophagy-relatedsubunit14	9.90589400693413e-05	0.00041010951496312	10.6547049704806	3.5632581865025e-23
BAR_3	52	0.00171509614433194	PF16746	BARdomainofAPPLfamily	BARdomainofAPPLfamily	0.000594353640416047	0.000831671389926569	2.88564926283849	1.83682943329654e-11
BCAS3	14	0.000461756654243214	PF12490	Breastcarcinomaamplifiedsequence3	Breastcarcinomaamplifiedsequence3	4.95294700346706e-05	9.90208761832978e-05	9.3228668491705	8.34301004027176e-11
Bcr-Abl_Oligo	15	0.000494739272403443	PF09036	Bcr-Abloncoproteinoligomerisationdomain	Bcr-Abloncoproteinoligomerisationdomain	4.95294700346706e-05	0.000113141558630514	9.98878590982552	7.78028734943869e-12
Biotin_carb_N	40	0.00131930472640918	PF00289	Biotincarboxylase,N-terminaldomain	Biotincarboxylase,N-terminaldomain	0.000247647350173353	0.000572495017713281	5.32735248524027	1.54673525944752e-17
CBF_beta	20	0.000659652363204591	PF02312	Corebindingfactorbetasubunit	Corebindingfactorbetasubunit	4.95294700346706e-05	0.000190883839978118	13.3183812131007	2.37489001312451e-17
CH	200	0.00659652363204591	PF00307	Calponinhomology(CH)domain	Calponinhomology(CH)domain	0.00331847449232293	0.0045823822840626	1.98781809150757	7.28617094734269e-19
COesterase	49	0.00161614828985125	PF00135	Carboxylesterasefamily	Carboxylesterasefamily	0.000693412580485389	0.0007654389769014	2.33071671229262	5.53152271023543e-08
CPSase_L_D2	41	0.00135228734456941	PF02786	Carbamoyl-phosphatesynthaseLchain,ATPbindingdomain	Carbamoyl-phosphatesynthaseLchain,ATPbindingdomain	0.000346706290242694	0.000593454344376632	3.90038306955092	2.04795532661951e-13
CPT_N	20	0.000659652363204591	PF16484	CarnitineO-palmitoyltransferaseN-terminus	CarnitineO-palmitoyltransferaseN-terminus	0.000148588410104012	0.000190883839978118	4.43946040436689	1.44307704646161e-08
CTF_NFI	30	0.000989478544806887	PF00859	CTF/NF-Ifamilytranscriptionmodulationregion	CTF/NF-Ifamilytranscriptionmodulationregion	0.000198117880138683	0.000371218946861873	4.99439295491275	5.00440029155439e-13
CTNNB1_binding	21	0.000692634981364821	PF08347	N-terminalCTNNB1binding	N-terminalCTNNB1binding	0.000198117880138683	0.000207623144152236	3.49607506843893	3.96428520539686e-07
Cast	25	0.000824565454005739	PF10174	RIM-bindingproteinofthecytomatrixactivezone	RIM-bindingproteinofthecytomatrixactivezone	9.90589400693413e-05	0.000277732700200151	8.32398825818793	3.59077588631075e-16
Ceramidase	21	0.000692634981364821	PF05875	Ceramidase	Ceramidase	0.000148588410104012	0.000207623144152236	4.66143342458524	2.9218662757031e-09
Chorein_N	62	0.00204492232593423	PF12624	N-terminalregionofChoreinorVPS13	N-terminalregionofChoreinorVPS13	0.000396235760277365	0.00105804423902012	5.16087272007651	3.76774488216196e-25
Citrate_bind	11	0.000362808799762525	PF16114	ATPcitratelyasecitrate-binding	ATPcitratelyasecitrate-binding	4.95294700346706e-05	6.03695291918616e-05	7.32510966720538	6.89458952218303e-08
