Cancer,TCGA_barcode,Gene_A,Gene_B,Chr_A,Chr_B,Strand_A,Strand_B,Discordant_Pairs,JSR,perfect_JSR,Evalue,Junction_A,Junction_B,Tier,Frame,TN,WGS_validation,Centrality,liftover_pos1,liftover_pos2
ACC,OR-A5J1-01A,DYNC1I1,ASB4,7,7,1,1,5,4,4,0.4,95499310,95125070,tier1,In-frame,5210,NA,0.37185,95869998,95495758
ACC,OR-A5J1-01A,KCTD5,TSC2,16,16,1,1,42,45,40,0.044,2747998,2136194,tier1,In-frame,8621,NA,0.37147,2697997,2086193
ACC,OR-A5J1-01A,LSP1,SYT8,11,11,1,1,10,6,5,0.049,1874427,1856327,tier1,NA,9635,NA,0.35934,1853197,1835097
ACC,OR-A5J1-01A,MLL,ATP5L,11,11,1,1,14,6,3,3.2,118353210,118301739,tier1,In-frame,10444,NA,0.38045,118482495,118431024
ACC,OR-A5J1-01A,PPP1R2,APOD,3,3,-1,-1,3,11,11,1.7,195269727,195296006,tier1,Out-of-frame,13380,NA,0.37164,195542904,195569135
ACC,OR-A5J1-01A,PPP6R3,LRP5,11,11,1,1,3,2,1,3.3,68228295,68204357,tier3,5UTR-CDS,13463,NA,0.36875,68460827,68436889
ACC,OR-A5J1-01A,RBM14,BBS1,11,11,1,1,7,6,6,1.2,66386032,66283011,tier1,3UTR-CDS,14444,NA,NA,66618561,66515540
ACC,OR-A5J1-01A,UIMC1,DBN1,5,5,-1,-1,11,5,2,0.99,176370336,176895900,tier1,Out-of-frame,19217,NA,NA,176943335,177468899
ACC,OR-A5J1-01A,CWC27,PPAP2A,5,5,1,-1,3,7,7,1.4,64181373,54721867,tier1,Out-of-frame,4467,NA,0.35182,64885546,55426039
ACC,OR-A5J1-01A,DAB2,ARSB,5,5,-1,-1,46,24,22,3,39392467,78265015,tier1,In-frame,4529,NA,0.36796,39392365,78969192
ACC,OR-A5J1-01A,DAB2,COL4A3BP,5,5,-1,-1,12,6,6,0.072,39424906,74755006,tier1,5UTR-CDS,4530,NA,0.37663,39424804,75459181
ACC,OR-A5J1-01A,HNRNPUL1,CLIP3,19,19,1,-1,10,1,1,0.041,41774250,36523317,tier2,CDS-5UTR,7910,NA,0.37264,41268345,36032415
ACC,OR-A5J1-01A,NRG4,SCNN1D,15,1,-1,1,5,1,1,1.7,76301541,1225857,tier2,Out-of-frame,11750,NA,0.35812,76009200,1290477
ACC,OR-A5J1-01A,PAPD4,GPBP1,5,5,1,1,4,1,1,1.9,78908898,56471275,tier2,5UTR-5UTR,12247,NA,0.34417,79613075,57175448
ACC,OR-A5J1-01A,PARP8,ANKRD55,5,5,1,-1,3,3,3,0.64,50125795,55412609,tier1,Out-of-frame,12302,NA,0.35253,50829961,56116782
ACC,OR-A5J1-01A,PRLR,CLPTM1L,5,5,-1,-1,88,44,43,0.3,35230370,1318568,tier1,5UTR-CDS,13579,NA,0.3754,35230268,1318453
ACC,OR-A5J1-01A,RICTOR,ANKRD31,5,5,-1,-1,3,1,1,0.17,39074213,74380199,tier2,Out-of-frame,14674,NA,NA,39074111,75084374
ACC,OR-A5J1-01A,TBCD,GLIPR2,17,9,1,1,8,5,5,1.2,80842078,36147783,tier1,Out-of-frame,17518,NA,NA,82884202,36147786
ACC,OR-A5J1-01A,TNPO1,MEF2C,5,5,1,-1,3,2,2,0.061,72112579,88057145,tier1,In-frame,18363,NA,NA,72816752,88761328
ACC,OR-A5J2-01A,AJAP1,CYTH3,1,7,1,-1,9,1,1,0.47,4715514,6230162,tier2,Out-of-frame,711,NA,0.36337,4655454,6190531
ACC,OR-A5J2-01A,ASXL2,PPWD1,2,5,-1,1,11,2,2,0.69,26029098,64863340,tier1,Out-of-frame,1567,NA,0.35807,25806229,65567513
ACC,OR-A5J2-01A,DLK1,THSD4,14,15,1,1,2,20,6,0.55,101201464,72072881,tier4,3UTR-CDS,4904,NA,0.35429,100735127,71780542
ACC,OR-A5J6-01A,ACTB,AC120194.1,7,8,-1,1,2,26,14,0.019,5567255,71485681,tier3,3UTR-5UTR,331,NA,0.3717,5527624,70573446
ACC,OR-A5J7-01A,AC007182.1,BATF,14,14,1,1,249,140,57,1.5,76045984,76012805,tier1,In-frame,147,NA,0.361,75579641,75546462
ACC,OR-A5J7-01A,AS3MT,SUFU,10,10,1,1,6,2,2,0.12,104650435,104356897,tier1,Out-of-frame,1473,NA,0.36737,102890678,102597140
ACC,OR-A5J7-01A,CCAR1,TET1,10,10,1,1,4,3,3,0.003,70520949,70432652,tier1,Out-of-frame,3101,NA,0.36033,68761192,68672895
ACC,OR-A5J7-01A,CNNM2,C10orf26,10,10,1,1,3,1,1,0.18,104828479,104557750,tier2,Out-of-frame,3918,NA,NA,103068722,102797993
ACC,OR-A5J7-01A,EXOSC10,MTOR,1,1,-1,-1,7,10,9,1,11139768,11190834,tier1,In-frame,5919,NA,0.35201,11079711,11130777
ACC,OR-A5J7-01A,HEG1,SLC12A8,3,3,-1,-1,5,6,4,0.008,124774419,124839530,tier1,In-frame,7688,NA,0.34984,125055575,125120686
ACC,OR-A5J7-01A,HSD17B14,PLEKHA4,19,19,-1,-1,139,64,55,0.011,49335923,49344567,tier1,Out-of-frame,7976,NA,0.36364,48832666,48841310
ACC,OR-A5J7-01A,LSP1,SYT8,11,11,1,1,69,50,44,0.049,1892642,1849772,tier1,5UTR-5UTR,9636,NA,0.35934,1871412,1828542
ACC,OR-A5J7-01A,MAPKAPK5,ALDH2,12,12,1,1,44,21,18,0.052,112280573,112241663,tier1,Out-of-frame,9968,NA,0.38184,111842769,111803859
ACC,OR-A5J7-01A,MKL1,SLC25A17,22,22,-1,-1,6,5,5,1.3,40859225,41175129,tier1,In-frame,10408,NA,0.36109,40463221,40779125
ACC,OR-A5J7-01A,NFE2L1,NPEPPS,17,17,1,1,9,7,7,0.22,46125824,45673719,tier1,5UTR-CDS,11453,NA,0.36792,48048462,47596353
ACC,OR-A5J7-01A,NR5A1,NR6A1,9,9,-1,-1,38,16,14,0.74,127262369,127287152,tier4,Out-of-frame,11728,NA,0.37984,124500090,124524873
